"Publisher","ISSN","eISSN","JIF","Publication Year"
"COLD SPRING HARBOR LAB PRESS, PUBLICATIONS DEPT","0890-9369","1549-5477",10.798,2014
"COLD SPRING HARBOR LAB PRESS, PUBLICATIONS DEPT","0890-9369","1549-5477",10.798,2014
"COLD SPRING HARBOR LAB PRESS, PUBLICATIONS DEPT","0890-9369","1549-5477",10.798,2014
"LIPPINCOTT WILLIAMS & WILKINS","0039-2499","1524-4628",5.761,2014
"LIPPINCOTT WILLIAMS & WILKINS","0039-2499","1524-4628",5.761,2014
"WILEY-BLACKWELL","0270-9139","1527-3350",11.055,2014
"ELSEVIER SCIENCE BV","0006-8993","1872-6240",2.843,2014
"AMER CHEMICAL SOC","1089-5639","1520-5215",2.693,2014
"AMER CHEMICAL SOC","1089-5639","1520-5215",2.693,2014
"AMER DIABETES ASSOC","0149-5992","1935-5548",8.42,2014
"OPTICAL SOC AMER","0146-9592","1539-4794",3.292,2014
"AMER PSYCHOLOGICAL ASSOC","0022-3514","1939-1315",5.031,2014
"ELSEVIER SCI LTD","0308-8146","1873-7072",3.391,2014
"ELSEVIER SCI LTD","0308-8146","1873-7072",3.391,2014
"ELSEVIER SCI LTD","0308-8146","1873-7072",3.391,2014
"PERGAMON-ELSEVIER SCIENCE LTD","0040-4020","1464-5416",2.641,2014
"AMER SOC MICROBIOLOGY","0095-1137","1098-660X",3.993,2014
"ELSEVIER SCI LTD","0032-3861","1873-2291",3.562,2014
"ELSEVIER SCIENCE SA","0925-8388","1873-4669",2.999,2014
"ELSEVIER SCIENCE SA","0925-8388","1873-4669",2.999,2014
"ELSEVIER SCIENCE SA","0925-8388","1873-4669",2.999,2014
"COMPANY OF BIOLOGISTS LTD","0950-1991","1477-9129",6.462,2014
"ECOLOGICAL SOC AMER","0012-9658","1939-9170",4.656,2014
"CELL PRESS","1097-2765","1097-4164",14.018,2014
"CELL PRESS","1097-2765","1097-4164",14.018,2014
"CELL PRESS","0006-3495","1542-0086",3.972,2014
"PERGAMON-ELSEVIER SCIENCE LTD","0043-1354","1879-2448",5.528,2014
"PERGAMON-ELSEVIER SCIENCE LTD","0043-1354","1879-2448",5.528,2014
"PERGAMON-ELSEVIER SCIENCE LTD","0043-1354","1879-2448",5.528,2014
"AMER CHEMICAL SOC","0001-4842","1520-4898",22.323,2014
"ELSEVIER SCIENCE BV","0009-2614","1873-4448",1.897,2014
"ELSEVIER SCIENCE BV","0009-2614","1873-4448",1.897,2014
"PERGAMON-ELSEVIER SCIENCE LTD","0016-7037","1872-9533",4.331,2014
"ACADEMIC PRESS INC ELSEVIER SCIENCE","0021-9797","1095-7103",3.368,2014
"AMER THORACIC SOC","1073-449X","1535-4970",12.996,2014
"AMER THORACIC SOC","1073-449X","1535-4970",12.996,2014
"WILEY-V C H VERLAG GMBH","1616-301X","1616-3028",11.805,2014
"WILEY-V C H VERLAG GMBH","1616-301X","1616-3028",11.805,2014
"WILEY-V C H VERLAG GMBH","1616-301X","1616-3028",11.805,2014
"WILEY-V C H VERLAG GMBH","1616-301X","1616-3028",11.805,2014
"WILEY-V C H VERLAG GMBH","1616-301X","1616-3028",11.805,2014
"WILEY-V C H VERLAG GMBH","1616-301X","1616-3028",11.805,2014
"OXFORD UNIV PRESS INC","1058-4838","1537-6591",8.886,2014
"OXFORD UNIV PRESS INC","1058-4838","1537-6591",8.886,2014
"OXFORD UNIV PRESS INC","1058-4838","1537-6591",8.886,2014
"AMER SOC NUTRITION-ASN","0002-9165","1938-3207",6.77,2014
"ROYAL SOC CHEMISTRY","1477-9226","1477-9234",4.197,2014
"ELSEVIER SCIENCE BV","0014-5793","1873-3468",3.169,2014
"ELSEVIER SCIENCE BV","0014-5793","1873-3468",3.169,2014
"ELSEVIER SCIENCE BV","0014-5793","1873-3468",3.169,2014
"ELSEVIER SCIENCE SA","0921-5093","1873-4936",2.567,2014
"ELSEVIER SCIENCE SA","0921-5093","1873-4936",2.567,2014
"ELSEVIER SCIENCE SA","0921-5093","1873-4936",2.567,2014
"AMER CHEMICAL SOC","0888-5885","1520-5045",2.587,2014
"AMER SOC MICROBIOLOGY","0066-4804","1098-6596",4.476,2014
"AMER SOC MICROBIOLOGY","0066-4804","1098-6596",4.476,2014
"NATURE PUBLISHING GROUP","1097-6256","1546-1726",16.095,2014
"PORTLAND PRESS LTD","0264-6021","1470-8728",4.396,2014
"AMER DIABETES ASSOC","0012-1797","1939-327X",8.095,2014
"AMER SOC MICROBIOLOGY","0019-9567","1098-5522",3.731,2014
"AMER SOC MICROBIOLOGY","0019-9567","1098-5522",3.731,2014
"WILEY-BLACKWELL","0022-3751","1469-7793",5.037,2014
"WILEY-BLACKWELL","0022-3751","1469-7793",5.037,2014
"RADIOLOGICAL SOC NORTH AMERICA","0033-8419","N/A",6.867,2014
"CELL PRESS","0960-9822","1879-0445",9.571,2014
"CELL PRESS","0960-9822","1879-0445",9.571,2014
"ELSEVIER SCIENCE BV","0012-821X","1385-013X",4.734,2014
"AMER COLL PHYSICIANS","0003-4819","1539-3704",17.81,2014
"WILEY-BLACKWELL","0020-7136","1097-0215",5.085,2014
"LIPPINCOTT WILLIAMS & WILKINS","0009-7330","1524-4571",11.019,2014
"LIPPINCOTT WILLIAMS & WILKINS","0009-7330","1524-4571",11.019,2014
"LIPPINCOTT WILLIAMS & WILKINS","0009-7330","1524-4571",11.019,2014
"PERGAMON-ELSEVIER SCIENCE LTD","0045-6535","1879-1298",3.34,2014
"WILEY-BLACKWELL","0021-8995","1097-4628",1.768,2014
"AMER SOC PLANT BIOLOGISTS","1040-4651","1532-298X",9.338,2014
"AMER SOC PLANT BIOLOGISTS","1040-4651","1532-298X",9.338,2014
"AMER SOC PLANT BIOLOGISTS","1040-4651","1532-298X",9.338,2014
"WILEY-BLACKWELL","0004-3591","1529-0131",7.764,2014
"PERGAMON-ELSEVIER SCIENCE LTD","0008-6223","1873-3891",6.196,2014
"PERGAMON-ELSEVIER SCIENCE LTD","0008-6223","1873-3891",6.196,2014
"ELSEVIER SCIENCE INC","0022-5347","1527-3792",4.36,2014
"NATURE PUBLISHING GROUP","1087-0156","1546-1696",41.514,2014
"WILEY-BLACKWELL","0077-8923","1749-6632",4.383,2014
"AMER COLL CHEST PHYSICIANS","0012-3692","1931-3543",7.483,2014
"AMER COLL CHEST PHYSICIANS","0012-3692","1931-3543",7.483,2014
"ELSEVIER SCIENCE BV","0376-7388","1873-3123",5.056,2014
"ELSEVIER SCIENCE BV","0376-7388","1873-3123",5.056,2014
"ENDOCRINE SOC","0013-7227","1945-7170",4.503,2014
"PERGAMON-ELSEVIER SCIENCE LTD","0360-3199","1879-3487",3.313,2014
"PERGAMON-ELSEVIER SCIENCE LTD","0360-3199","1879-3487",3.313,2014
"PERGAMON-ELSEVIER SCIENCE LTD","0360-3199","1879-3487",3.313,2014
"ASSOC RESEARCH VISION OPHTHALMOLOGY INC","0146-0404","1552-5783",3.404,2014
"IOP PUBLISHING LTD","2041-8205","2041-8213",5.339,2014
"GENETICS SOCIETY AMERICA","0016-6731","1943-2631",5.963,2014
"OXFORD UNIV PRESS INC","0022-1899","1537-6613",5.997,2014
"OXFORD UNIV PRESS INC","0022-1899","1537-6613",5.997,2014
"OXFORD UNIV PRESS INC","0022-1899","1537-6613",5.997,2014
"OXFORD UNIV PRESS","0006-8950","1460-2156",9.196,2014
"OXFORD UNIV PRESS","0006-8950","1460-2156",9.196,2014
"ELSEVIER SCIENCE BV","0169-4332","1873-5584",2.711,2014
"ELSEVIER SCIENCE BV","0169-4332","1873-5584",2.711,2014
"ELSEVIER SCIENCE BV","0169-4332","1873-5584",2.711,2014
"ELSEVIER SCIENCE BV","0169-4332","1873-5584",2.711,2014
"PERGAMON-ELSEVIER SCIENCE LTD","1359-6454","1873-2453",4.465,2014
"PERGAMON-ELSEVIER SCIENCE LTD","1359-6454","1873-2453",4.465,2014
"AMER PHYSICAL SOC","0556-2813","2469-9993",3.733,2014
"ELSEVIER SCIENCE SA","0040-6090","1879-2731",1.759,2014
"ELSEVIER SCIENCE SA","0040-6090","1879-2731",1.759,2014
"ELSEVIER SCIENCE SA","0040-6090","1879-2731",1.759,2014
"ELSEVIER SCIENCE SA","0040-6090","1879-2731",1.759,2014
"WILEY-BLACKWELL","1469-493X","1361-6137",6.035,2014
"AMER PHYSIOLOGICAL SOC","0022-3077","1522-1598",2.887,2014
"AMER PHYSIOLOGICAL SOC","0022-3077","1522-1598",2.887,2014
"COMPANY OF BIOLOGISTS LTD","0021-9533","1477-9137",5.432,2014
"PERGAMON-ELSEVIER SCIENCE LTD","0306-4522","1873-7544",3.357,2014
"AMER CHEMICAL SOC","0276-7333","1520-6041",4.126,2014
"AMER CHEMICAL SOC","0276-7333","1520-6041",4.126,2014
"AMER PSYCHIATRIC PUBLISHING, INC","0002-953X","1535-7228",12.295,2014
"AMER PSYCHIATRIC PUBLISHING, INC","0002-953X","1535-7228",12.295,2014
"AMER PHYSIOLOGICAL SOC","8750-7587","1522-1601",3.056,2014
"AMER PHYSIOLOGICAL SOC","8750-7587","1522-1601",3.056,2014
"ELSEVIER SCIENCE BV","0003-2670","1873-4324",4.513,2014
"PERGAMON-ELSEVIER SCIENCE LTD","1352-2310","1873-2844",3.281,2014
"PERGAMON-ELSEVIER SCIENCE LTD","1352-2310","1873-2844",3.281,2014
"ELSEVIER SCIENCE SA","0925-4005","0925-4005",4.097,2014
"ELSEVIER SCIENCE SA","0925-4005","0925-4005",4.097,2014
"ELSEVIER SCIENCE SA","0925-4005","0925-4005",4.097,2014
"LIPPINCOTT WILLIAMS & WILKINS","0003-4932","1528-1140",8.327,2014
"NATURE PUBLISHING GROUP","0007-0920","1532-1827",4.836,2014
"ROYAL SOC","0962-8452","1471-2954",5.051,2014
"ROYAL SOC","0962-8452","1471-2954",5.051,2014
"ROYAL SOC","0962-8452","1471-2954",5.051,2014
"CAMBRIDGE UNIV PRESS","0022-1120","1469-7645",2.383,2014
"CAMBRIDGE UNIV PRESS","0022-1120","1469-7645",2.383,2014
"FEDERATION AMER SOC EXP BIOL","0892-6638","1530-6860",5.043,2014
"FEDERATION AMER SOC EXP BIOL","0892-6638","1530-6860",5.043,2014
"FEDERATION AMER SOC EXP BIOL","0892-6638","1530-6860",5.043,2014
"IOP PUBLISHING LTD","0953-8984","1361-648X",2.346,2014
"ELSEVIER SCIENCE INC","0006-3223","1873-2402",10.255,2014
"ELSEVIER SCIENCE INC","0006-3223","1873-2402",10.255,2014
"ACADEMIC PRESS INC ELSEVIER SCIENCE","0021-9517","1090-2694",6.921,2014
"ACADEMIC PRESS INC ELSEVIER SCIENCE","0021-9517","1090-2694",6.921,2014
"ELSEVIER SCIENCE INC","0002-9440","1525-2191",4.591,2014
"ELSEVIER SCIENCE INC","0360-3016","1879-355X",4.258,2014
"ELSEVIER SCIENCE INC","0360-3016","1879-355X",4.258,2014
"NATURE PUBLISHING GROUP","1474-175X","1474-1768",37.4,2014
"ELSEVIER SCIENCE BV","0048-9697","1879-1026",4.099,2014
"AMER PHYSICAL SOC","0034-6861","1539-0756",29.604,2014
"NATURE PUBLISHING GROUP","2041-1723","2041-1723",11.47,2014
"IOP PUBLISHING LTD","0957-4484","1361-6528",3.821,2014
"IOP PUBLISHING LTD","0957-4484","1361-6528",3.821,2014
"IOP PUBLISHING LTD","0957-4484","1361-6528",3.821,2014
"ACADEMIC PRESS INC ELSEVIER SCIENCE","0003-2697","1096-0309",2.219,2014
"ACADEMIC PRESS INC ELSEVIER SCIENCE","0003-2697","1096-0309",2.219,2014
"ACADEMIC PRESS INC ELSEVIER SCIENCE","0003-2697","1096-0309",2.219,2014
"OPTICAL SOC AMER","1559-128X","2155-3165",1.784,2014
"MOSBY-ELSEVIER","0091-6749","1097-6825",11.476,2014
"MOSBY-ELSEVIER","0091-6749","1097-6825",11.476,2014
"OXFORD UNIV PRESS","0195-668X","1522-9645",15.203,2014
"WILEY-BLACKWELL","0960-7412","1365-313X",5.972,2014
"AMER GEOPHYSICAL UNION","0043-1397","1944-7973",3.549,2014
"AMER GEOPHYSICAL UNION","0043-1397","1944-7973",3.549,2014
"AMER GEOPHYSICAL UNION","0043-1397","1944-7973",3.549,2014
"AMER MEDICAL ASSOC","0003-9926","1538-3679",17.333,2014
"NATURE PUBLISHING GROUP","0085-2538","1523-1755",8.563,2014
"ACOUSTICAL SOC AMER AMER INST PHYSICS","0001-4966","1520-8524",1.503,2014
"ACOUSTICAL SOC AMER AMER INST PHYSICS","0001-4966","1520-8524",1.503,2014
"OXFORD UNIV PRESS","0737-4038","1537-1719",9.105,2014
"OXFORD UNIV PRESS","0737-4038","1537-1719",9.105,2014
"OXFORD UNIV PRESS","0737-4038","1537-1719",9.105,2014
"OXFORD UNIV PRESS","0964-6906","1460-2083",6.393,2014
"OXFORD UNIV PRESS","0964-6906","1460-2083",6.393,2014
"JOURNAL BONE JOINT SURGERY INC","0021-9355","1535-1386",5.28,2014
"JOURNAL BONE JOINT SURGERY INC","0021-9355","1535-1386",5.28,2014
"CELL PRESS","1074-7613","1097-4180",21.561,2014
"LIPPINCOTT WILLIAMS & WILKINS","0362-2436","1528-1159",2.297,2014
"LIPPINCOTT WILLIAMS & WILKINS","0362-2436","1528-1159",2.297,2014
"AMER MEDICAL ASSOC","0003-990X","1538-3636",14.48,2014
"AMER MEDICAL ASSOC","0003-990X","1538-3636",14.48,2014
"ELSEVIER SCIENCE BV","0550-3213","1873-1562",3.929,2014
"AMER PSYCHOLOGICAL ASSOC","0033-2909","1939-1455",14.756,2014
"AMER PSYCHOLOGICAL ASSOC","0033-2909","1939-1455",14.756,2014
"WILEY-BLACKWELL","0950-382X","1365-2958",4.419,2014
"WILEY-BLACKWELL","0950-382X","1365-2958",4.419,2014
"PERGAMON-ELSEVIER SCIENCE LTD","0960-894X","1464-3405",2.42,2014
"PERGAMON-ELSEVIER SCIENCE LTD","0960-894X","1464-3405",2.42,2014
"OXFORD UNIV PRESS INC","0027-8874","1460-2105",12.583,2014
"WILEY-BLACKWELL","0022-3042","1471-4159",4.281,2014
"WILEY-BLACKWELL","0022-3042","1471-4159",4.281,2014
"ROYAL SOC CHEMISTRY","1754-5692","1754-5706",20.523,2014
"ROYAL SOC CHEMISTRY","1754-5692","1754-5706",20.523,2014
"ROYAL SOC CHEMISTRY","1754-5692","1754-5706",20.523,2014
"ROYAL SOC CHEMISTRY","1754-5692","1754-5706",20.523,2014
"SPRINGER","0022-2461","1573-4803",2.371,2014
"WILEY-BLACKWELL","0002-7820","1551-2916",2.61,2014
"AMER METEOROLOGICAL SOC","0894-8755","1520-0442",4.435,2014
"NATURE PUBLISHING GROUP","1471-0072","1471-0080",37.806,2014
"INTER-RESEARCH","0171-8630","1616-1599",2.619,2014
"INTER-RESEARCH","0171-8630","1616-1599",2.619,2014
"INTER-RESEARCH","0171-8630","1616-1599",2.619,2014
"NATURE PUBLISHING GROUP","1465-7392","1476-4679",19.679,2014
"ELSEVIER SCIENCE BV","0168-3659","1873-4995",7.705,2014
"ELSEVIER SCIENCE BV","0168-3659","1873-4995",7.705,2014
"NATURE PUBLISHING GROUP","1529-2908","1529-2916",20.004,2014
"ELSEVIER SCI LTD","0264-410X","1873-2518",3.624,2014
"ELSEVIER SCI LTD","0264-410X","1873-2518",3.624,2014
"OXFORD UNIV PRESS INC","0002-9262","1476-6256",5.23,2014
"EXCERPTA MEDICA INC-ELSEVIER SCIENCE INC","0002-9149","1879-1913",3.276,2014
"BMJ PUBLISHING GROUP","0017-5749","1468-3288",14.66,2014
"CELL PRESS","0002-9297","1537-6605",10.931,2014
"ACADEMIC PRESS INC ELSEVIER SCIENCE","0021-9991","1090-2716",2.434,2014
"ACADEMIC PRESS INC ELSEVIER SCIENCE","0021-9991","1090-2716",2.434,2014
"ELSEVIER SCIENCE INC","0034-4257","1879-0704",6.393,2014
"ELSEVIER SCIENCE INC","0034-4257","1879-0704",6.393,2014
"ELSEVIER SCIENCE INC","0034-4257","1879-0704",6.393,2014
"US DEPT HEALTH HUMAN SCIENCES PUBLIC HEALTH SCIENCE","0091-6765","1552-9924",7.977,2014
"US DEPT HEALTH HUMAN SCIENCES PUBLIC HEALTH SCIENCE","0091-6765","1552-9924",7.977,2014
"US DEPT HEALTH HUMAN SCIENCES PUBLIC HEALTH SCIENCE","0091-6765","1552-9924",7.977,2014
"ELSEVIER SCIENCE BV","0378-5173","1873-3476",3.65,2014
"NATURE PUBLISHING GROUP","1748-3387","1748-3395",34.048,2014
"NATURE PUBLISHING GROUP","1748-3387","1748-3395",34.048,2014
"ELSEVIER SCIENCE BV","0926-860X","1873-3875",3.942,2014
"ELSEVIER SCIENCE BV","0926-860X","1873-3875",3.942,2014
"ELSEVIER SCIENCE SA","1385-8947","1873-3212",4.321,2014
"ELSEVIER SCIENCE SA","1385-8947","1873-3212",4.321,2014
"AMER SOC NUTRITION-ASN","0022-3166","1541-6100",3.875,2014
"LIPPINCOTT WILLIAMS & WILKINS","0194-911X","1524-4563",6.499,2014
"ELSEVIER SCIENCE INC","0022-0302","1525-3198",2.573,2014
"ELSEVIER SCIENCE INC","0022-0302","1525-3198",2.573,2014
"COLD SPRING HARBOR LAB PRESS, PUBLICATIONS DEPT","1088-9051","1549-5469",14.63,2014
"COLD SPRING HARBOR LAB PRESS, PUBLICATIONS DEPT","1088-9051","1549-5469",14.63,2014
"COLD SPRING HARBOR LAB PRESS, PUBLICATIONS DEPT","1088-9051","1549-5469",14.63,2014
"WILEY-BLACKWELL","0028-646X","1469-8137",7.672,2014
