"Name","Web of Science Documents","% Docs Cited","Category Normalized Citation Impact","International Collaborations","Gold Documents","Domestic Collaborations","State or Province","Corresponding Author (2008-2024)","Times Cited without Self-Citations","H-Index without Self-Citations","Year"
"Virginia Polytechnic Institute & State University",4235,79.65,1.27144909090909,1177,300,1464,"VIRGINIA, USA",2320,108898,132,2014
"University of California Riverside",2458,79.98,1.54714344995932,927,226,625,"CALIFORNIA, USA",1231,89255,132,2014
"Colorado State University",3052,81.72,1.29665904325033,901,280,1172,"COLORADO, USA",1506,91427,131,2014
"Iowa State University",3607,81.31,1.25701095092875,1156,309,1190,"IOWA, USA",1877,98272,131,2014
"Oregon State University",2853,82.83,1.37328864353312,891,273,1184,"OREGON, USA",1399,87783,131,2014
"State University of New York (SUNY) Buffalo",3690,77.97,1.60352189701897,1182,384,1300,"NEW YORK, USA",1583,100716,130,2014
"University of Massachusetts Amherst",3039,78.81,1.44341375452451,1017,251,992,"MASSACHUSETTS, USA",1414,97205,129,2014
"Rockefeller University",953,79.01,2.03164596012592,488,172,314,"NEW YORK, USA",284,60119,129,2014
"University of Massachusetts Worcester",1997,74.91,1.47195828743115,542,238,920,"MASSACHUSETTS, USA",703,80850,128,2014
"Virginia Commonwealth University",3187,71.07,1.35987759648572,763,221,1264,"VIRGINIA, USA",1355,95252,128,2014
"University of Kentucky",3764,78.08,1.34243993092455,942,318,1405,"KENTUCKY, USA",1836,103520,126,2014
"Dartmouth College",2671,77.27,1.92116394608761,693,254,1178,"NEW HAMPSHIRE, USA",1144,91742,126,2014
"University of Georgia",4043,78.7,1.20850472421469,1101,397,1587,"GEORGIA, USA",1983,104788,125,2014
"Florida State University",2924,82.25,1.47945218878249,925,222,1051,"FLORIDA, USA",1431,93215,124,2014
"University of Kansas",3737,74.95,1.3035282312015,1054,306,1392,"KANSAS, USA",1748,97522,123,2014
"University of Nebraska Lincoln",2518,82.13,1.39311262907069,875,264,889,"NEBRASKA, USA",1220,82195,123,2014
"University of South Carolina Columbia",2972,77.46,1.31298802153432,907,261,1115,"SOUTH CAROLINA, USA",1376,77843,123,2014
"University of Missouri Columbia",3421,77.67,1.26764361297866,791,275,1344,"MISSOURI, USA",1800,87453,122,2014
"Wayne State University",3715,75.85,1.4804934589502,1096,325,1646,"MICHIGAN, USA",1412,96705,121,2014
"George Washington University",3262,74.25,1.40211983445739,878,250,1355,"DISTRICT OF COLUMBIA, USA",1328,90375,120,2014
"Jefferson University",2381,74.25,1.94051289374213,593,172,1058,"PENNSYLVANIA, USA",843,80268,119,2014
"University of Texas Health Science Center at San Antonio",2120,73.25,2.17080155660377,646,186,990,"TEXAS, USA",651,78772,119,2014
"University of Notre Dame",2529,77.3,1.59770929221036,794,200,628,"INDIANA, USA",1408,73503,118,2014
"Drexel University",2475,71.96,1.57499078787879,617,173,1035,"PENNSYLVANIA, USA",1041,85086,118,2014
"Medical University of South Carolina",2478,73.57,1.61813248587571,620,191,1115,"SOUTH CAROLINA, USA",860,84825,118,2014
"Northeastern University",2281,79.18,1.73233516001754,833,260,742,"MASSACHUSETTS, USA",1110,72064,117,2014
"Temple University",2973,72.82,1.35145835856038,778,184,1192,"PENNSYLVANIA, USA",1236,78043,117,2014
"University of Houston",2666,74.72,1.29966144036009,893,158,874,"TEXAS, USA",1278,68494,117,2014
"University of Delaware",2347,77.93,1.39537064337452,753,142,758,"DELAWARE, USA",1204,78740,116,2014
"Louisiana State University",2869,80.48,1.25091460439177,875,235,1059,"LOUISIANA, USA",1412,74812,116,2014
"Washington State University",2712,80.64,1.27150519911504,804,265,1016,"WASHINGTON, USA",1373,76788,115,2014
"Georgetown University",2837,70.22,1.66013983080719,627,205,1085,"DISTRICT OF COLUMBIA, USA",1268,80262,112,2014
"Rush University",1793,74.46,1.51408733965421,404,159,875,"ILLINOIS, USA",616,59284,109,2014
"NYU Langone Medical Center",1647,73.65,1.45649987856709,382,142,796,"NEW YORK, USA",480,61672,109,2014
"University of Texas Dallas",1980,76.57,1.43040419191919,723,161,596,"TEXAS, USA",966,57124,109,2014
"University of Arizona Health Sciences",1705,82.82,1.43005964809384,412,164,727,"ARIZONA, USA",36,58741,107,2014
"Medical College of Wisconsin",2150,71.63,1.65357218604651,503,143,1074,"WISCONSIN, USA",674,60129,106,2014
"Florida International University",1860,79.78,1.33992768817204,655,192,616,"FLORIDA, USA",904,50594,105,2014
"University of Louisville",2267,72.92,1.20003475959418,534,186,867,"KENTUCKY, USA",1043,59214,105,2014
"University of Vermont",1770,76.44,1.38825553672316,503,126,653,"VERMONT, USA",799,58345,105,2014
"University of Tennessee Health Science Center",1860,72.8,1.43024413978495,417,194,947,"TENNESSEE, USA",561,51437,105,2014
"UCSF Medical Center",912,79.82,2.50414868421053,318,96,448,"CALIFORNIA, USA",201,49450,104,2014
"University of Colorado Denver",1663,75.41,1.58423108839447,463,109,905,"COLORADO, USA",394,50561,101,2014
"Tulane University",2151,70.53,1.19790743840074,641,275,778,"LOUISIANA, USA",892,50381,99,2014
"Indiana University Indianapolis",1727,70.87,2.09084568616097,409,144,872,"INDIANA, USA",582,54282,99,2014
"University of Hawaii Manoa",1499,83.26,1.46566777851901,586,126,445,"HAWAII, USA",734,46040,98,2014
"University of Mississippi",1930,73.89,1.27671523316062,650,167,687,"MISSISSIPPI, USA",733,52217,98,2014
"University of Oregon",1637,74.71,1.39090378741601,463,154,496,"OREGON, USA",856,44539,98,2014
"Texas Tech University",2052,77.97,1.1803600877193,614,194,746,"TEXAS, USA",989,49673,98,2014
"University of Oklahoma - Norman",1857,77.71,1.26777953688745,650,173,586,"OKLAHOMA, USA",877,54231,98,2014
"University of Central Florida",2105,80.19,1.28761026128266,632,126,704,"FLORIDA, USA",1141,49340,97,2014
"University of Alabama Tuscaloosa",1570,79.11,1.48962796178344,451,119,574,"ALABAMA, USA",764,51597,96,2014
"Kansas State University",1789,79.99,1.20681319172722,593,214,621,"KANSAS, USA",842,47084,96,2014
"State University of New York (SUNY) Albany",1372,81.78,1.37706771137026,408,172,550,"NEW YORK, USA",619,43047,96,2014
"Rensselaer Polytechnic Institute",1389,78.11,1.32186587473002,476,66,432,"NEW YORK, USA",731,41971,93,2014
"University of Texas Arlington",1490,76.64,1.28258147651007,567,141,453,"TEXAS, USA",739,35685,93,2014
"Rollins School Public Health",1036,88.22,1.50356225868726,338,182,600,"GEORGIA, USA",264,39352,91,2014
"Georgia State University",1726,77.87,1.37422827346466,464,138,684,"GEORGIA, USA",879,42908,90,2014
"University of New Hampshire",1049,82.65,1.40911515729266,368,83,366,"NEW HAMPSHIRE, USA",505,32980,89,2014
"Utah State University",1314,83.71,1.39672564687976,372,104,547,"UTAH, USA",690,37330,89,2014
"University of Wisconsin Milwaukee",1476,80.08,1.20187466124661,463,91,567,"WISCONSIN, USA",761,39847,89,2014
"Baylor University",1306,73.28,1.58586217457887,381,126,462,"TEXAS, USA",578,34247,88,2014
"University of Texas Medical Branch Galveston",1400,73.07,1.17790685714286,346,173,541,"TEXAS, USA",571,32370,88,2014
"George Mason University",1941,76.25,1.26746007212777,469,128,718,"VIRGINIA, USA",1090,41516,87,2014
"Oklahoma State University - Stillwater",1640,79.21,1.09236615853659,537,198,614,"OKLAHOMA, USA",774,36174,86,2014
"Auburn University",1995,75.39,1.14740040100251,495,132,775,"ALABAMA, USA",1086,43003,86,2014
"Scripps Institution of Oceanography",751,90.81,1.82621517976032,396,109,232,"CALIFORNIA, USA",263,33003,86,2014
"Syracuse University",1519,74.79,1.33537261356155,468,103,501,"NEW YORK, USA",796,39783,85,2014
"Augusta University",1431,69.95,1.28608693221523,441,141,611,"GEORGIA, USA",508,34443,85,2014
"University of Arkansas Medical Sciences",1410,71.35,1.12692829787234,272,155,718,"ARKANSAS, USA",505,35010,84,2014
"University of Texas at San Antonio (UTSA)",1254,78.47,1.26554003189793,448,94,420,"TEXAS, USA",637,33328,84,2014
"West Virginia University",1860,75.65,0.991052741935484,437,141,741,"WEST VIRGINIA, USA",919,36845,84,2014
"University of Arkansas Fayetteville",1812,75.39,1.23389216335541,468,125,694,"ARKANSAS, USA",902,35890,83,2014
"Brandeis University",793,74.02,1.91657969735183,230,114,210,"MASSACHUSETTS, USA",396,32838,83,2014
"Saint Louis University",1781,70.35,1.39514037057833,364,125,761,"MISSOURI, USA",797,37055,83,2014
"Brigham Young University",1609,78,1.25380261031697,312,115,601,"UTAH, USA",924,34780,83,2014
"Clemson University",1819,78.39,1.12328235294118,404,116,733,"SOUTH CAROLINA, USA",965,37411,82,2014
"Texas A&M Health Science Center",866,80.72,1.23148591224018,226,131,481,"TEXAS, USA",295,29108,82,2014
"San Diego State University",1323,75.81,1.23232003023432,341,107,614,"CALIFORNIA, USA",587,36101,81,2014
"Loyola University Chicago",1480,64.46,1.77883344594595,263,106,588,"ILLINOIS, USA",617,32648,81,2014
"Kent State University",1149,75.81,1.48160635335074,306,78,432,"OHIO, USA",611,39075,81,2014
"Old Dominion University",1135,78.85,1.32233462555066,368,74,369,"VIRGINIA, USA",597,32136,81,2014
"University of Wyoming",1147,83.61,1.47574184829991,329,96,480,"WYOMING, USA",556,35368,81,2014
"Colorado School of Mines",960,78.65,1.50981885416667,393,39,347,"COLORADO, USA",441,35115,80,2014
"Boston College",1103,70.63,1.4750031731641,220,70,351,"MASSACHUSETTS, USA",665,29583,80,2014
"Kent State University Kent",1079,76.09,1.49582882298424,294,74,405,"OHIO, USA",562,37727,80,2014
"Kent State University Salem",1077,76.23,1.50273927576602,295,74,406,"OHIO, USA",560,37842,80,2014
"Rutgers University Newark",1010,77.03,1.34608316831683,281,91,407,"NEW JERSEY, USA",454,30039,79,2014
"University of Toledo",1241,73.57,1.15347888799355,281,73,431,"OHIO, USA",640,30405,79,2014
"Uniformed Services University of the Health Sciences - USA",896,81.14,1.29841752232143,208,111,549,"MARYLAND, USA",268,27020,79,2014
"University of Oklahoma Health Sciences Center",1401,72.73,1.57796902212705,319,130,682,"OKLAHOMA, USA",487,35504,79,2014
"University of Missouri Kansas City",1088,76.75,1.23443134191176,286,103,474,"MISSOURI, USA",412,33069,78,2014
"University of North Texas Denton",1528,72.71,1.09754685863874,392,68,519,"TEXAS, USA",811,34832,78,2014
"Mississippi State University",1443,78.45,1.02492522522523,333,106,605,"MISSISSIPPI, USA",777,30845,77,2014
"Nationwide Childrens Hospital",1048,75.29,1.63985133587786,249,85,631,"OHIO, USA",396,34668,76,2014
"Southern Methodist University",770,75.19,1.58874311688312,253,78,214,"TEXAS, USA",386,22391,75,2014
"University of New Mexico's Health Sciences Center",825,81.09,1.59472315151515,195,93,392,"NEW MEXICO, USA",85,23565,75,2014
"University of Nevada Reno",1081,77.15,1.05141609620722,312,75,391,"NEVADA, USA",515,24158,74,2014
"Michigan Technological University",822,79.81,1.19419732360097,285,67,259,"MICHIGAN, USA",450,21504,73,2014
"University of Akron",1054,77.8,0.985061480075901,325,40,359,"OHIO, USA",577,24636,73,2014
"University of Alaska Fairbanks",798,84.46,1.25698120300752,319,108,280,"ALASKA, USA",341,24662,72,2014
"University of Maryland Baltimore County",901,72.03,1.00984506104329,259,72,346,"MARYLAND, USA",413,22519,72,2014
"Pennington Biomedical Research Center",433,83.83,1.83479792147806,161,49,216,"LOUISIANA, USA",148,20878,72,2014
"Montana State University Bozeman",922,83.08,1.2154647505423,277,106,370,"MONTANA, USA",446,28665,72,2014
"City College of New York (CUNY)",800,78.75,1.6076555,229,54,288,"NEW YORK, USA",454,33087,72,2014
"University of California Merced",650,75.38,1.58100492307692,235,66,202,"CALIFORNIA, USA",283,22341,72,2014
"University of Idaho",910,83.52,1.14022604395604,212,72,423,"IDAHO, USA",465,23978,70,2014
"University of Massachusetts Boston",796,75.88,1.55053291457286,193,70,354,"MASSACHUSETTS, USA",380,22254,70,2014
"Hofstra University",817,67.81,1.73827086903305,177,61,391,"NEW YORK, USA",271,30035,70,2014
"Portland State University",902,77.38,1.20919445676275,233,47,318,"OREGON, USA",499,19123,70,2014
"University of Montana",739,81.46,1.17468673883627,236,75,300,"MONTANA, USA",339,24616,69,2014
"New Mexico State University",838,80.55,1.20592040572792,290,69,292,"NEW MEXICO, USA",399,25352,69,2014
"Illinois Institute of Technology",890,75.62,1.46281606741573,288,33,342,"ILLINOIS, USA",420,19827,68,2014
"University of Rhode Island",877,75.37,1.31722052451539,266,88,337,"RHODE ISLAND, USA",388,20966,68,2014
"Massachusetts Eye & Ear Infirmary",658,75.68,2.14262066869301,176,54,359,"MASSACHUSETTS, USA",252,16817,67,2014
"University of Maine Orono",685,80.29,1.44939751824818,216,53,258,"MAINE, USA",314,22640,67,2014
"University of Nevada Las Vegas",1033,78.9,1.31398973862536,325,65,367,"NEVADA, USA",508,23582,66,2014
"Ohio University",1038,77.84,1.40992167630058,296,81,357,"OHIO, USA",510,22460,66,2014
"Baylor University Medical Center",468,72.86,2.48485918803419,157,23,230,"TEXAS, USA",128,16692,66,2014
"New York Medical College",739,69.28,1.19679404600812,185,75,361,"NEW YORK, USA",217,16563,66,2014
"Loma Linda University",832,67.43,1.21136947115385,185,81,317,"CALIFORNIA, USA",309,18759,65,2014
"Southern Illinois University",1143,70.25,0.863970428696413,255,60,387,"ILLINOIS, USA",613,19247,65,2014
"Creighton University",644,66.15,1.10980124223602,164,61,240,"NEBRASKA, USA",245,16944,65,2014
"State University of New York (SUNY) Binghamton",900,76.67,1.28265622222222,244,39,294,"NEW YORK, USA",552,19122,65,2014
"University of Texas El Paso",746,74.4,1.19316179624665,240,57,272,"TEXAS, USA",374,18807,65,2014
"William & Mary",853,76.91,1.32545404454865,275,45,270,"VIRGINIA, USA",470,20423,65,2014
"Northern Illinois University",774,75.32,1.14657648578811,246,88,244,"ILLINOIS, USA",388,16767,65,2014
"State University of New York (SUNY) Upstate Medical Center",754,67.64,0.99688673740053,142,59,310,"NEW YORK, USA",281,15510,65,2014
"East Carolina University",1241,70.75,1.00533287671233,262,92,547,"NORTH CAROLINA, USA",607,22903,64,2014
"North Dakota State University Fargo",1043,77.47,1.00547967401726,263,61,395,"NORTH DAKOTA, USA",536,19419,64,2014
"University of North Carolina Charlotte",1246,70.55,1.19312616372392,286,63,476,"NORTH CAROLINA, USA",706,22200,64,2014
"Northern Arizona University",560,73.39,1.43786625,162,68,203,"ARIZONA, USA",275,17048,62,2014
"Lehigh University",865,74.68,1.38516624277457,247,43,290,"PENNSYLVANIA, USA",492,20604,62,2014
"Colorado School of Public Health",414,85.02,1.55877004830918,70,45,321,"COLORADO, USA",48,16326,62,2014
"San Francisco State University",642,72.43,1.19062102803738,157,41,232,"CALIFORNIA, USA",356,14041,61,2014
"University of North Carolina Greensboro",742,74.53,1.2953025606469,142,40,312,"NORTH CAROLINA, USA",382,15109,61,2014
"University of Denver",702,77.64,1.47544216524217,155,22,263,"COLORADO, USA",418,19422,60,2014
"Missouri University of Science & Technology",903,83.5,1.12909202657807,291,53,276,"MISSOURI, USA",554,16068,60,2014
"Albany Medical College",609,66.5,1.17735993431856,110,45,312,"NEW YORK, USA",199,15204,60,2014
"Fordham University",706,69.55,1.63230467422096,106,32,237,"NEW YORK, USA",454,14838,60,2014
"University of Memphis",938,77.29,1.258721108742,241,91,394,"TENNESSEE, USA",471,20015,60,2014
"University of Puerto Rico Mayaguez",351,80.34,1.65976182336182,161,78,110,"PUERTO RICO, USA",126,12969,60,2014
"SUNY Downstate Health Sciences University",749,70.36,1.27724419225634,172,74,382,"NEW YORK, USA",250,16633,60,2014
"UT Institute of Agriculture",483,88.41,1.2320049689441,114,68,238,"TENNESSEE, USA",254,11674,59,2014
"Louisiana State University Health Sciences Center New Orleans",699,63.95,1.29880343347639,124,71,333,"LOUISIANA, USA",211,20031,59,2014
"University of North Dakota Grand Forks",658,76.29,0.936412917933131,158,67,240,"NORTH DAKOTA, USA",366,14137,58,2014
"Hunter College (CUNY)",761,70.17,1.19901208935611,186,41,330,"NEW YORK, USA",363,13823,58,2014
"American University",663,68.63,1.50423966817496,126,27,177,"DISTRICT OF COLUMBIA, USA",397,12370,57,2014
"Florida Institute of Technology",405,82.72,1.35033407407407,196,67,103,"FLORIDA, USA",153,11634,57,2014
"Eastern Virginia Medical School",436,69.72,1.24230871559633,109,30,215,"VIRGINIA, USA",131,11506,57,2014
"University of Texas School Public Health",464,89.44,1.26885344827586,136,56,301,"TEXAS, USA",106,15246,57,2014
"New York University Tandon School of Engineering",495,77.37,2.09474121212121,201,16,144,"NEW YORK, USA",266,16674,57,2014
"Arizona State University-Downtown Phoenix",567,82.01,1.70112204585538,113,46,311,"ARIZONA, USA",255,14793,57,2014
"Worcester Polytechnic Institute",617,74.72,1.41931620745543,186,17,203,"MASSACHUSETTS, USA",359,16187,56,2014
"Rochester Institute of Technology",810,70.12,1.18932851851852,230,37,256,"NEW YORK, USA",467,18364,56,2014
"South Dakota State University",547,79.71,1.11609853747715,137,53,233,"SOUTH DAKOTA, USA",259,14162,56,2014
"Miami University",954,68.76,0.999673899371069,187,49,336,"OHIO, USA",498,15570,56,2014
"Michigan State University College of Human Medicine",540,79.07,1.20665555555556,104,58,326,"MICHIGAN, USA",86,14634,56,2014
"Texas Tech University Health Science Center",642,62.93,0.865536448598131,105,80,268,"TEXAS, USA",252,12251,55,2014
"Children's Mercy Hospital",491,76.37,1.48500570264766,96,38,284,"MISSOURI, USA",174,13256,55,2014
"University of South Alabama",522,67.43,1.08605900383142,117,54,238,"ALABAMA, USA",201,12082,54,2014
"Florida Atlantic University",849,73.85,0.963702826855124,182,46,329,"FLORIDA, USA",465,14018,54,2014
"Louisiana Technical University",306,78.1,1.37199379084967,161,65,75,"LOUISIANA, USA",97,8952,54,2014
"University of Puerto Rico Medical Sciences Campus",458,83.41,0.886372052401747,129,60,233,"PUERTO RICO, USA",196,11820,54,2014
